timestamp,open,high,low,close,volume
1577808000000,7195.0,7225.62,7186.77,7211.49,991.617726
1577811600000,7212.45,7213.56,7151.0,7168.12,1614.277285
1577815200000,7167.72,7174.04,7145.01,7168.86,1288.451914
1577818800000,7169.32,7185.0,7156.85,7173.32,763.625618
1577822400000,7173.75,7187.89,7165.1,7176.41,508.304012
1577826000000,7176.51,7188.93,7171.01,7186.19,410.27669
1577829600000,7185.92,7208.41,7181.78,7200.48,651.161077
1577833200000,7200.52,7206.29,7185.76,7195.23,521.978397
1577836800000,7195.24,7196.25,7175.46,7177.02,511.814901
1577840400000,7176.47,7230.0,7175.71,7216.27,883.052603
1577844000000,7215.52,7244.87,7211.41,7242.85,655.156809
1577847600000,7242.66,7245.0,7220.0,7225.01,783.724867
1577851200000,7225.0,7230.0,7215.03,7217.27,467.812578
1577854800000,7217.26,7229.76,7216.65,7224.21,344.670596
1577858400000,7224.24,7236.27,7221.51,7225.62,621.467023
1577862000000,7225.88,7232.94,7199.11,7209.83,627.344854
1577865600000,7209.83,7210.0,7180.0,7200.64,915.545974
1577869200000,7200.29,7210.51,7188.0,7188.77,636.386102
1577872800000,7189.07,7210.0,7185.2,7202.0,537.762804
1577876400000,7202.01,7237.73,7188.61,7197.2,1076.959481
1577880000000,7197.2,7233.33,7196.15,7225.59,868.75358
1577883600000,7225.84,7231.89,7212.88,7221.2,612.180902
1577887200000,7221.17,7234.97,7208.17,7221.43,617.714185
1577890800000,7221.6,7255.0,7218.29,7234.19,1393.888792
1577894400000,7234.2,7246.42,7214.0,7245.37,881.93278
1577898000000,7244.34,7249.99,7224.92,7236.83,1069.210567
1577901600000,7237.02,7246.72,7225.17,7240.67,611.693307
1577905200000,7240.8,7241.0,7225.49,7229.48,417.746637
1577908800000,7229.48,7242.98,7224.68,7236.73,391.834174
1577912400000,7237.26,7242.75,7227.0,7233.17,285.454078
1577916000000,7233.32,7234.49,7186.0,7197.99,769.030411
1577919600000,7197.62,7204.17,7175.15,7200.85,811.25016
1577923200000,7200.77,7212.5,7185.46,7211.02,391.352377
1577926800000,7211.04,7211.16,7185.11,7190.99,402.660139
1577930400000,7190.99,7191.0,7155.35,7169.02,1387.377886
1577934000000,7169.04,7169.06,7120.37,7129.61,1557.96443
1577937600000,7129.25,7161.0,7116.7,7142.21,1252.447877
1577941200000,7142.61,7152.05,7126.93,7138.93,569.50899
1577944800000,7138.93,7149.02,7121.43,7135.97,687.600665
1577948400000,7136.04,7140.63,7105.0,7110.57,1548.403823
1577952000000,7110.98,7157.48,7109.11,7154.36,1114.825128
1577955600000,7153.57,7165.0,7135.36,7162.01,840.001328
1577959200000,7162.18,7180.0,7153.33,7161.83,1446.219984
1577962800000,7161.89,7168.67,7139.03,7139.79,761.15657
1577966400000,7139.73,7163.4,7139.03,7158.29,794.030497
1577970000000,7158.86,7163.35,7107.43,7131.15,1566.280693
1577973600000,7131.18,7157.1,7122.34,7135.59,956.300925
1577977200000,7135.59,7152.0,7120.0,7130.98,862.429718
1577980800000,7130.37,7146.85,7020.0,7052.32,3604.474152
1577984400000,7052.32,7053.09,6924.74,6970.04,6183.82554
1577988000000,6970.04,6989.68,6949.96,6974.02,1513.597939
1577991600000,6974.02,6995.0,6960.0,6983.27,1397.130602
1577995200000,6982.63,6983.22,6941.27,6948.49,1138.646334
1577998800000,6948.16,6985.0,6946.2,6977.73,665.856715
1578002400000,6977.55,6978.24,6963.02,6974.8,568.324029
1578006000000,6974.8,6974.8,6950.0,6965.71,741.067591
1578009600000,6965.49,6966.47,6912.88,6937.0,1106.732043
1578013200000,6937.0,6946.07,6878.19,6888.85,2402.581684
1578016800000,6888.26,6966.8,6871.04,6956.88,2869.993553
1578020400000,6957.66,6966.36,6940.0,6952.04,1246.589508
1578024000000,6952.04,7264.71,6948.64,7210.19,9560.897697
1578027600000,7210.2,7249.0,7168.48,7220.47,3575.770965
1578031200000,7220.49,7225.0,7190.14,7202.22,2075.25916
1578034800000,7202.06,7232.0,7185.04,7203.21,2185.376884
1578038400000,7202.28,7297.29,7202.28,7260.6,3976.534509
1578042000000,7260.64,7358.88,7256.56,7348.42,5469.030632
1578045600000,7349.3,7371.92,7281.3,7312.25,3924.462414
1578049200000,7312.26,7346.0,7306.61,7340.46,1826.857466
1578052800000,7340.46,7350.19,7303.14,7322.78,1717.22262
1578056400000,7324.1,7380.0,7311.59,7348.87,1906.468998
1578060000000,7348.36,7362.31,7229.3,7254.73,4583.643119
1578063600000,7255.49,7322.44,7252.48,7320.18,2371.650792
1578067200000,7320.17,7405.0,7293.1,7386.03,5852.326934
1578070800000,7388.21,7403.2,7335.21,7355.26,2201.223063
1578074400000,7355.23,7369.47,7330.32,7342.96,1422.531602
1578078000000,7342.95,7352.33,7280.0,7343.08,2259.002878
1578081600000,7343.62,7361.0,7297.01,7316.99,1546.013182
1578085200000,7317.01,7335.0,7262.68,7283.0,1227.929145
1578088800000,7281.69,7320.54,7260.01,7300.56,1407.545265
1578092400000,7301.32,7346.08,7291.75,7344.96,1712.856338
1578096000000,7345.0,7350.0,7289.98,7302.24,1240.406484
1578099600000,7304.96,7312.58,7280.85,7309.16,821.321239
1578103200000,7308.71,7328.99,7296.18,7327.83,868.281715
1578106800000,7328.21,7339.69,7318.56,7333.11,763.775397
1578110400000,7333.14,7338.46,7312.65,7334.86,691.833205
1578114000000,7334.59,7369.28,7325.0,7344.69,1306.738785
1578117600000,7344.7,7367.88,7340.0,7354.96,1168.097036
1578121200000,7354.95,7363.63,7327.32,7348.11,1352.880865
1578124800000,7348.04,7365.0,7330.0,7346.59,1272.743225
1578128400000,7346.4,7369.18,7339.28,7363.88,1084.110633
1578132000000,7364.32,7369.63,7304.36,7318.3,1807.551552
1578135600000,7318.15,7339.27,7302.1,7336.45,1520.454655
1578139200000,7336.75,7339.58,7305.0,7312.89,1131.422667
1578142800000,7312.79,7326.49,7291.0,7303.88,1549.128326
1578146400000,7303.72,7323.74,7296.44,7316.72,874.231693
1578150000000,7315.51,7332.0,7305.0,7318.99,870.0506
1578153600000,7318.98,7323.26,7297.91,7307.11,1043.417942
1578157200000,7308.0,7352.0,7305.0,7351.99,1237.984296
1578160800000,7351.36,7404.0,7272.21,7306.92,4110.024469
1578164400000,7306.6,7353.84,7283.01,7334.83,1966.929401
1578168000000,7334.89,7352.64,7310.67,7341.06,1433.864061
1578171600000,7340.9,7367.31,7330.72,7350.68,869.007514
1578175200000,7350.72,7359.7,7342.67,7350.24,474.926109
1578178800000,7350.05,7363.0,7328.9,7354.11,528.793108
1578182400000,7354.19,7393.0,7354.11,7373.48,1432.35544
1578186000000,7373.43,7481.87,7373.43,7459.18,6394.85574
